year,day,state,wfhpct,age1824pct,age2539pct,age4054pct,age55pluspct,income50minuspct,income50100pct,income100pluspct,population2019,date
2020,19-Aug,UT,0.455986269,0.180689222,0.378088706,0.274535477,0.166686595,0.217018498,0.365238166,0.417743336,3205958,August 19 2020
2020,19-Aug,VA,0.405192285,0.094015827,0.348316764,0.320902043,0.236765366,0.133903633,0.269121616,0.596974751,8535519,August 19 2020
2020,19-Aug,VT,0.41851921,0.066450836,0.297793965,0.331128336,0.304626863,0.156529157,0.372350608,0.471120235,623989,August 19 2020
2020,19-Aug,WA,0.420154621,0.104223842,0.352800385,0.295510744,0.247465028,0.156528992,0.282315709,0.561155299,7614893,August 19 2020
2020,19-Aug,WI,0.346094216,0.126027881,0.324674361,0.304434758,0.244863,0.161333429,0.335750286,0.502916284,5822434,August 19 2020
2020,19-Aug,WV,0.235456384,0.104787542,0.264558858,0.299544121,0.331109479,0.181941599,0.444785238,0.373273164,1792147,August 19 2020
2020,19-Aug,WY,0.25639434,0.12165824,0.309718692,0.306329208,0.262293861,0.205701411,0.35503076,0.439267829,578759,August 19 2020
2020,2-Sep,AK,0.360401279,0.095851295,0.370720189,0.295565745,0.237862771,0.141313737,0.343639031,0.515047233,731545,September 2 2020
2020,2-Sep,AL,0.276931757,0.05970619,0.293735571,0.322287329,0.32427091,0.25857409,0.373734418,0.367691492,4903185,September 2 2020
2020,2-Sep,AR,0.26545546,0.164655582,0.316251257,0.293775087,0.225318073,0.240467721,0.363005112,0.396527167,3017804,September 2 2020
2020,2-Sep,AZ,0.356039026,0.115875575,0.335336454,0.311552667,0.237235304,0.23063353,0.326279297,0.443087174,7278717,September 2 2020
2020,2-Sep,CA,0.39652118,0.112021072,0.338450895,0.283056664,0.266471369,0.146710803,0.246905186,0.606384011,39512223,September 2 2020
2020,2-Sep,CO,0.432591615,0.056819968,0.439965138,0.284660898,0.218553997,0.136648485,0.363045292,0.500306223,5758736,September 2 2020
2020,2-Sep,CT,0.42358908,0.103394316,0.288837842,0.311416763,0.296351079,0.113155903,0.242034515,0.644809583,3565287,September 2 2020
2020,2-Sep,DC,0.614212214,0.104171744,0.481862662,0.24377769,0.170187903,0.1398234,0.192106919,0.668069681,705749,September 2 2020
2020,2-Sep,DE,0.343382496,0.04904112,0.303195177,0.379485443,0.268278259,0.139014542,0.374416088,0.48656937,973764,September 2 2020
2020,2-Sep,FL,0.329687015,0.104399974,0.318647786,0.293304748,0.283647493,0.244019263,0.324310841,0.431669896,21477737,September 2 2020
2020,2-Sep,GA,0.350923536,0.094134686,0.358786279,0.296908388,0.250170647,0.196309871,0.319124723,0.484565406,10617423,September 2 2020
2020,2-Sep,HI,0.326480114,0.103815811,0.285589437,0.242527222,0.36806753,0.153340662,0.318361112,0.528298227,1415872,September 2 2020
2020,2-Sep,IA,0.298356747,0.088687315,0.379131992,0.272162486,0.260018207,0.16229221,0.353763688,0.483944103,3155070,September 2 2020
2020,2-Sep,ID,0.375220465,0.145129957,0.276990109,0.269924879,0.307955056,0.239929326,0.419441433,0.340629241,1787065,September 2 2020
2020,2-Sep,IL,0.388435223,0.115251769,0.339121692,0.303673863,0.241952676,0.143839187,0.286574872,0.569585941,12671821,September 2 2020
2020,2-Sep,IN,0.262862434,0.128475022,0.325014134,0.287729973,0.258780871,0.165837044,0.324681603,0.509481353,6732219,September 2 2020
2020,2-Sep,KS,0.344280617,0.099727805,0.346726869,0.311612954,0.241932373,0.182768041,0.306019281,0.511212678,2913314,September 2 2020
2020,2-Sep,KY,0.272318565,0.07732094,0.312139802,0.274553831,0.335985427,0.220702847,0.345012286,0.434284867,4467673,September 2 2020
2020,2-Sep,LA,0.252395256,0.106237085,0.292932012,0.29178777,0.309043134,0.225009258,0.330986938,0.444003804,4648794,September 2 2020
2020,2-Sep,MA,0.483739051,0.11038847,0.330361321,0.27902704,0.280223168,0.117158849,0.221434784,0.661406367,6892503,September 2 2020
2020,2-Sep,MD,0.463443837,0.076120345,0.353473779,0.271930828,0.298475047,0.130729618,0.266696196,0.602574185,6045680,September 2 2020
2020,2-Sep,ME,0.321671865,0.082465821,0.263857037,0.331384039,0.322293103,0.167589175,0.325930614,0.506480211,1344212,September 2 2020
2020,2-Sep,MI,0.343060194,0.10241184,0.288841222,0.319396689,0.289350249,0.16003209,0.356196062,0.483771848,9986857,September 2 2020
2020,2-Sep,MN,0.416940568,0.120882422,0.347318868,0.279943283,0.251855427,0.142368553,0.350856994,0.506774452,5639632,September 2 2020
2020,2-Sep,MO,0.316522185,0.084315567,0.355531476,0.281332685,0.278820273,0.209654959,0.307078195,0.483266847,6137428,September 2 2020
2020,2-Sep,MS,0.249342765,0.132954219,0.307531573,0.304123842,0.255390366,0.254089012,0.381842662,0.364068326,2976149,September 2 2020
2020,2-Sep,MT,0.264842775,0.134583123,0.309149903,0.299891845,0.256375129,0.270994207,0.346735557,0.382270236,1068778,September 2 2020
2020,2-Sep,NC,0.362222289,0.114369067,0.342980662,0.296782157,0.245868114,0.192954665,0.303455152,0.503590183,10488084,September 2 2020
