City,State,State_full,Type,Counties,Population,Latitude,Longitude,County_State,,,abbv,State
Riverside,CA,California,City,Riverside,314998,33.983,-117.374,Riverside County California,,,,
Newark,NJ,New Jersey,City,Essex,311549,40.736,-74.172,Essex County New Jersey,,,,
St Paul,MN,Minnesota,City,Ramsey,311527,44.946,-93.094,Ramsey County Minnesota,,,,
Santa Ana,CA,California,City,Orange,310227,33.745,-117.868,Orange County California,,,,
Cincinnati,OH,Ohio,City,Hamilton,309317,39.105,-84.514,Hamilton County Ohio,,,,
Irvine,CA,California,City,Orange,307670,33.684,-117.796,Orange County California,,,,
Orlando,FL,Florida,City,Orange,307573,28.543,-81.378,Orange County Florida,,,,
Pittsburgh,PA,Pennsylvania,City,Allegheny,302971,40.441,-80.003,Allegheny County Pennsylvania,,,,
St Louis,MO,Missouri,City,St. Louis,301578,38.626,-90.191,St. Louis County Missouri,,,,
Greensboro,NC,North Carolina,City,Guilford,299035,36.073,-79.792,Guilford County North Carolina,,,,
Jersey City,NJ,New Jersey,City,Hudson,292449,40.732,-74.063,Hudson County New Jersey,,,,
Anchorage,AK,Alaska,Municipality,Anchorage,291247,61.218,-149.885,Anchorage County Alaska,,,,
Lincoln,NE,Nebraska,City,Lancaster,291082,40.809,-96.7,Lancaster County Nebraska,,,,
Plano,TX,Texas,City,Denton,285494,33.02,-96.698,Denton County Texas,,,,
Durham,NC,North Carolina,City,Durham,283506,35.995,-78.901,Durham County North Carolina,,,,
Buffalo,NY,New York,City,Erie,278349,42.886,-78.878,Erie County New York,,,,
Chandler,AZ,Arizona,City,Maricopa,275987,33.306,-111.841,Maricopa County Arizona,,,,
Chula Vista,CA,California,City,San Diego,275487,32.64,-117.082,San Diego County California,,,,
Toledo,OH,Ohio,City,Lucas,270871,41.651,-83.542,Lucas County Ohio,,,,
Madison,WI,Wisconsin,City,Dane,269840,43.074,-89.383,Dane County Wisconsin,,,,
Gilbert,AZ,Arizona,Town,Maricopa,267918,33.354,-111.79,Maricopa County Arizona,,,,
Reno,NV,Nevada,City,Washoe,264165,39.529,-119.814,Washoe County Nevada,,,,
Fort Wayne,IN,Indiana,City,Allen,263886,41.08,-85.14,Allen County Indiana,,,,
North Las Vegas,NV,Nevada,City,Clark,262527,36.202,-115.12,Clark County Nevada,,,,
St Petersburg,FL,Florida,City,Pinellas,258308,27.771,-82.637,Pinellas County Florida,,,,
Lubbock,TX,Texas,City,Lubbock,257141,33.585,-101.846,Lubbock County Texas,,,,
Irving,TX,Texas,City,Dallas,256684,32.814,-96.946,Dallas County Texas,,,,
Laredo,TX,Texas,City,Webb,255205,27.506,-99.503,Webb County Texas,,,,
Winston Salem,NC,North Carolina,City,Forsyth,249545,36.095,-80.244,Forsyth County North Carolina,,,,
Chesapeake,VA,Virginia,City,Chesapeake,249422,36.809,-76.271,Chesapeake County Virginia,,,,
Glendale,AZ,Arizona,City,Maricopa,248325,33.539,-112.186,Maricopa County Arizona,,,,
Garland,TX,Texas,City,Dallas,246018,32.913,-96.639,Dallas County Texas,,,,
Scottsdale,AZ,Arizona,City,Maricopa,241361,33.495,-111.926,Maricopa County Arizona,,,,
Norfolk,VA,Virginia,City,Norfolk,238005,36.848,-76.292,Norfolk County Virginia,,,,
Boise,ID,Idaho,City,Ada,235684,43.615,-116.202,Ada County Idaho,,,,
Fremont,CA,California,City,Alameda,230504,37.549,-121.988,Alameda County California,,,,
Spokane,WA,Washington,City,Spokane,228989,47.657,-117.418,Spokane County Washington,,,,
Santa Clarita,CA,California,City,Los Angeles,228673,34.38,-118.541,Los Angeles County California,,,,
Baton Rouge,LA,Louisiana,City,East Baton Rouge,227470,30.443,-91.184,East Baton Rouge County Louisiana,,,,
Richmond,VA,Virginia,City,Richmond (city),226610,37.546,-77.453,Richmond (city) County Virginia,,,,
Hialeah,FL,Florida,City,Miami-Dade,223109,25.846,-80.268,Miami-Dade County Florida,,,,
San Bernardino,CA,California,City,San Bernardino,222101,34.106,-117.292,San Bernardino County California,,,,
Tacoma,WA,Washington,City,Pierce,219346,47.253,-122.44,Pierce County Washington,,,,
Modesto,CA,California,City,Stanislaus,218464,37.639,-120.997,Stanislaus County California,,,,
Huntsville,AL,Alabama,City,Limestone,215006,34.73,-86.586,Limestone County Alabama,,,,
Des Moines,IA,Iowa,City,Polk,214133,41.587,-93.626,Polk County Iowa,,,,
Yonkers,NY,New York,City,Westchester,211569,40.932,-73.899,Westchester County New York,,,,
Rochester,NY,New York,City,Monroe,211328,43.156,-77.613,Monroe County New York,,,,
Moreno Valley,CA,California,City,Riverside,208634,33.936,-117.229,Riverside County California,,,,
Fayetteville,NC,North Carolina,City,Cumberland,208501,35.053,-78.878,Cumberland County North Carolina,,,,
Fontana,CA,California,City,San Bernardino,208393,34.101,-117.436,San Bernardino County California,,,,
Columbus,GA,Georgia,City,Muscogee,206922,32.469,-84.988,Muscogee County Georgia,,,,
Worcester,MA,Massachusetts,City,Worcester,206518,42.263,-71.802,Worcester County Massachusetts,,,,
Port St Lucie,FL,Florida,City,St. Lucie,204851,27.276,-80.355,St. Lucie County Florida,,,,
Little Rock,AR,Arkansas,City,Pulaski,202591,34.747,-92.288,Pulaski County Arkansas,,,,
Augusta,GA,Georgia,Consolidated Government,Richmond,202081,33.476,-81.966,Richmond County Georgia,,,,
Oxnard,CA,California,City,Ventura,202063,34.198,-119.177,Ventura County California,,,,
Birmingham,AL,Alabama,City,Shelby,200733,33.514,-86.806,Shelby County Alabama,,,,
Montgomery,AL,Alabama,City,Montgomery,200603,32.378,-86.301,Montgomery County Alabama,,,,
Frisco,TX,Texas,City,Denton,200509,33.151,-96.825,Denton County Texas,,,,
Amarillo,TX,Texas,City,Randall,200393,35.207,-101.836,Randall County Texas,,,,
Salt Lake City,UT,Utah,City,Salt Lake,199723,40.769,-111.891,Salt Lake County Utah,,,,
Grand Rapids,MI,Michigan,City,Kent,198917,42.963,-85.668,Kent County Michigan,,,,
Huntington Beach,CA,California,City,Orange,198711,33.659,-118,Orange County California,,,,
Overland Park,KS,Kansas,City,Johnson,197238,38.986,-94.668,Johnson County Kansas,,,,
Glendale,CA,California,City,Los Angeles,196543,34.143,-118.258,Los Angeles County California,,,,
Tallahassee,FL,Florida,City,Leon,196169,30.438,-84.282,Leon County Florida,,,,
Grand Prairie,TX,Texas,City,Tarrant,196100,32.745,-97.004,Tarrant County Texas,,,,
McKinney,TX,Texas,City,Collin,195308,33.197,-96.616,Collin County Texas,,,,
Cape Coral,FL,Florida,City,Lee,194016,26.563,-81.95,Lee County Florida,,,,
Sioux Falls,SD,South Dakota,City,Minnehaha,192517,43.547,-96.727,Minnehaha County South Dakota,,,,
Peoria,AZ,Arizona,City,Maricopa,190985,33.582,-112.238,Maricopa County Arizona,,,,
Providence,RI,Rhode Island,City,Providence,190934,41.824,-71.413,Providence County Rhode Island,,,,
Vancouver,WA,Washington,City,Clark,190915,45.63,-122.677,Clark County Washington,,,,
Knoxville,TN,Tennessee,City,Knox,190740,35.962,-83.918,Knox County Tennessee,,,,
Akron,OH,Ohio,City,Summit,190469,41.085,-81.517,Summit County Ohio,,,,
Shreveport,LA,Louisiana,City,Bossier,187593,32.514,-93.748,Bossier County Louisiana,,,,
Mobile,AL,Alabama,City,Mobile,187041,30.691,-88.046,Mobile County Alabama,,,,
Brownsville,TX,Texas,City,Cameron,186738,25.902,-97.498,Cameron County Texas,,,,
Newport News,VA,Virginia,City,Newport News,186247,36.98,-76.431,Newport News County Virginia,,,,
Fort Lauderdale,FL,Florida,City,Broward,182760,26.119,-80.143,Broward County Florida,,,,
Chattanooga,TN,Tennessee,City,Hamilton,181099,35.05,-85.31,Hamilton County Tennessee,,,,
Tempe,AZ,Arizona,City,Maricopa,180587,33.415,-111.909,Maricopa County Arizona,,,,
Aurora,IL,Illinois,City,Kendall,180542,41.758,-88.315,Kendall County Illinois,,,,
Santa Rosa,CA,California,City,Sonoma,178127,38.44,-122.713,Sonoma County California,,,,
Eugene,OR,Oregon,City,Lane,176654,44.05,-123.093,Lane County Oregon,,,,
Elk Grove,CA,California,City,Sacramento,176124,38.409,-121.371,Sacramento County California,,,,
Salem,OR,Oregon,City,Polk,175535,44.939,-123.032,Polk County Oregon,,,,
Ontario,CA,California,City,San Bernardino,175265,34.063,-117.651,San Bernardino County California,,,,
Cary,NC,North Carolina,Town,Chatham,174721,35.787,-78.783,Chatham County North Carolina,,,,
Rancho Cucamonga,CA,California,City,San Bernardino,174453,34.107,-117.594,San Bernardino County California,,,,
Oceanside,CA,California,City,San Diego,174068,33.195,-117.384,San Diego County California,,,,
Lancaster,CA,California,City,Los Angeles,173516,34.697,-118.148,Los Angeles County California,,,,
Garden Grove,CA,California,City,Orange,171949,33.775,-117.941,Orange County California,,,,
Pembroke Pines,FL,Florida,City,Broward,171178,26.002,-80.223,Broward County Florida,,,,
Fort Collins,CO,Colorado,City,Larimer,169810,40.587,-105.077,Larimer County Colorado,,,,
Palmdale,CA,California,City,Los Angeles,169450,34.58,-118.117,Los Angeles County California,,,,
Springfield,MO,Missouri,City,Greene,169176,37.209,-93.292,Greene County Missouri,,,,
Clarksville,TN,Tennessee,City,Montgomery,166722,36.528,-87.361,Montgomery County Tennessee,,,,
Salinas,CA,California,City,Monterey,163542,36.678,-121.655,Monterey County California,,,,
Hayward,CA,California,City,Alameda,162954,37.671,-122.085,Alameda County California,,,,
Paterson,NJ,New Jersey,City,Passaic,159732,40.917,-74.172,Passaic County New Jersey,,,,
Alexandria,VA,Virginia,City,Alexandria,159467,38.805,-77.047,Alexandria County Virginia,,,,
Macon,GA,Georgia,Consolidated Government,Bibb,157346,32.838,-83.628,Bibb County Georgia,,,,
Corona,CA,California,City,Riverside,157136,33.876,-117.567,Riverside County California,,,,
Kansas City,KS,Kansas,City,Wyandotte,156607,39.116,-94.627,Wyandotte County Kansas,,,,
Lakewood,CO,Colorado,City,Jefferson,155984,39.705,-105.081,Jefferson County Colorado,,,,
Springfield,MA,Massachusetts,City,Hampden,155929,42.101,-72.589,Hampden County Massachusetts,,,,
Sunnyvale,CA,California,City,Santa Clara,155805,37.369,-122.037,Santa Clara County California,,,,
Jackson,MS,Mississippi,City,Madison,153701,32.3,-90.186,Madison County Mississippi,,,,
Killeen,TX,Texas,City,Bell,153095,31.117,-97.73,Bell County Texas,,,,
Hollywood,FL,Florida,City,Broward,153067,26.011,-80.149,Broward County Florida,,,,
Murfreesboro,TN,Tennessee,City,Rutherford,152769,35.846,-86.392,Rutherford County Tennessee,,,,
Pasadena,TX,Texas,City,Harris,151950,29.691,-95.209,Harris County Texas,,,,
Bellevue,WA,Washington,City,King,151854,47.617,-122.202,King County Washington,,,,
Pomona,CA,California,City,Los Angeles,151713,34.059,-117.752,Los Angeles County California,,,,
Escondido,CA,California,City,San Diego,151038,33.122,-117.081,San Diego County California,,,,
Joliet,IL,Illinois,City,Kendall,150362,41.525,-88.082,Kendall County Illinois,,,,
Charleston,SC,South Carolina,City,Charleston,150227,32.776,-79.931,Charleston County South Carolina,,,,
Mesquite,TX,Texas,City,Kaufman,150108,32.767,-96.599,Kaufman County Texas,,,,
Naperville,IL,Illinois,City,DuPage,149540,41.774,-88.148,DuPage County Illinois,,,,
Rockford,IL,Illinois,City,Winnebago,148655,42.271,-89.095,Winnebago County Illinois,,,,
Bridgeport,CT,Connecticut,Town,Fairfield,148654,41.198,-73.194,Fairfield County Connecticut,,,,
Syracuse,NY,New York,City,Onondaga,148620,43.047,-76.149,Onondaga County New York,,,,
Savannah,GA,Georgia,City,Chatham,147780,32.079,-81.091,Chatham County Georgia,,,,
Roseville,CA,California,City,Placer,147773,38.752,-121.288,Placer County California,,,,
Torrance,CA,California,City,Los Angeles,147067,33.836,-118.34,Los Angeles County California,,,,
Fullerton,CA,California,City,Orange,143617,33.87,-117.924,Orange County California,,,,
Surprise,AZ,Arizona,City,Maricopa,143148,33.63,-112.377,Maricopa County Arizona,,,,
McAllen,TX,Texas,City,Hidalgo,142210,26.203,-98.231,Hidalgo County Texas,,,,
Thornton,CO,Colorado,City,Adams,141867,39.871,-104.972,Adams County Colorado,,,,
Visalia,CA,California,City,Tulare,141384,36.33,-119.292,Tulare County California,,,,
Olathe,KS,Kansas,City,Johnson,141290,38.882,-94.82,Johnson County Kansas,,,,
Gainesville,FL,Florida,City,Alachua,141085,29.652,-82.325,Alachua County Florida,,,,
West Valley City,UT,Utah,City,Salt Lake,140230,40.697,-111.996,Salt Lake County Utah,,,,
Orange,CA,California,City,Orange,139911,33.788,-117.853,Orange County California,,,,
Denton,TX,Texas,City,Denton,139869,33.215,-97.132,Denton County Texas,,,,
Warren,MI,Michigan,City,Macomb,139387,42.492,-83.028,Macomb County Michigan,,,,
Pasadena,CA,California,City,Los Angeles,138699,34.148,-118.143,Los Angeles County California,,,,
Waco,TX,Texas,City,McLennan,138486,31.557,-97.132,McLennan County Texas,,,,
Cedar Rapids,IA,Iowa,City,Linn,137710,41.978,-91.664,Linn County Iowa,,,,
Dayton,OH,Ohio,City,Montgomery,137644,39.758,-84.191,Montgomery County Ohio,,,,
Elizabeth,NJ,New Jersey,City,Union,137298,40.665,-74.215,Union County New Jersey,,,,
Hampton,VA,Virginia,City,Hampton,137148,37.026,-76.344,Hampton County Virginia,,,,
Columbia,SC,South Carolina,City,Lexington,136632,34.001,-81.034,Lexington County South Carolina,,,,
Kent,WA,Washington,City,King,136588,47.381,-122.231,King County Washington,,,,
Stamford,CT,Connecticut,Town,Fairfield,135470,41.124,-73.567,Fairfield County Connecticut,,,,
Lakewood,NJ,New Jersey,Township,Ocean,135158,40.076,-74.199,Ocean County New Jersey,,,,
Victorville,CA,California,City,San Bernardino,134810,34.537,-117.294,San Bernardino County California,,,,
Miramar,FL,Florida,City,Broward,134721,25.987,-80.238,Broward County Florida,,,,
Coral Springs,FL,Florida,City,Broward,134394,26.273,-80.266,Broward County Florida,,,,
Sterling Heights,MI,Michigan,City,Macomb,134346,42.58,-83.03,Macomb County Michigan,,,,
New Haven,CT,Connecticut,Town,New Haven,134023,41.313,-72.931,New Haven County Connecticut,,,,
Carrollton,TX,Texas,City,Denton,133434,32.954,-96.89,Denton County Texas,,,,
