City,State,State_full,Type,Counties,Population,Latitude,Longitude,County_State,,,abbv,State
Egg Harbor,NJ,New Jersey,Township,Atlantic,47842,39.372,-74.64,Atlantic County New Jersey,,,,
East Lansing,MI,Michigan,City,Ingham,47741,42.735,-84.484,Ingham County Michigan,,,,
Middletown,CT,Connecticut,Town,Middlesex,47717,41.53,-72.649,Middlesex County Connecticut,,,,
Roseville,MI,Michigan,City,Macomb,47710,42.497,-82.937,Macomb County Michigan,,,,
Monroe,LA,Louisiana,City,Ouachita,47702,32.502,-92.117,Ouachita County Louisiana,,,,
Burleson,TX,Texas,City,Johnson,47641,32.543,-97.321,Johnson County Texas,,,,
Wake Forest,NC,North Carolina,Town,Wake,47601,35.979,-78.509,Wake County North Carolina,,,,
Mansfield,OH,Ohio,City,Richland,47534,40.759,-82.516,Richland County Ohio,,,,
Newark,CA,California,City,Alameda,47529,37.537,-122.031,Alameda County California,,,,
Mentor,OH,Ohio,City,Lake,47450,41.666,-81.34,Lake County Ohio,,,,
Cleveland,TN,Tennessee,City,Bradley,47356,35.16,-84.877,Bradley County Tennessee,,,,
Brea,CA,California,City,Orange,47325,33.92,-117.898,Orange County California,,,,
Fort Pierce,FL,Florida,City,St. Lucie,47297,27.447,-80.326,St. Lucie County Florida,,,,
Ocoee,FL,Florida,City,Orange,47295,28.57,-81.544,Orange County Florida,,,,
Rockwall,TX,Texas,City,Rockwall,47251,32.931,-96.46,Rockwall County Texas,,,,
East Providence,RI,Rhode Island,City,Providence,47139,41.814,-71.37,Providence County Rhode Island,,,,
Oro Valley,AZ,Arizona,Town,Pima,47070,32.41,-110.996,Pima County Arizona,,,,
San Luis Obispo,CA,California,City,San Luis Obispo,47063,35.282,-120.659,San Luis Obispo County California,,,,
South Brunswick,NJ,New Jersey,Township,Middlesex,47043,40.375,-74.517,Middlesex County New Jersey,,,,
Winter Garden,FL,Florida,City,Orange,46964,28.566,-81.586,Orange County Florida,,,,
Salina,KS,Kansas,City,Saline,46889,38.841,-97.609,Saline County Kansas,,,,
Huntington,WV,West Virginia,City,Wayne,46842,38.421,-82.444,Wayne County West Virginia,,,,
Evesham,NJ,New Jersey,Township,Burlington,46826,39.878,-74.895,Burlington County New Jersey,,,,
Prescott Valley,AZ,Arizona,Town,Yavapai,46785,34.603,-112.316,Yavapai County Arizona,,,,
Farmington,NM,New Mexico,City,San Juan,46624,36.729,-108.208,San Juan County New Mexico,,,,
Charlottesville,VA,Virginia,City,Charlottesville,46553,38.031,-78.482,Charlottesville County Virginia,,,,
Beavercreek,OH,Ohio,City,Greene,46549,39.728,-84.057,Greene County Ohio,,,,
Strongsville,OH,Ohio,City,Cuyahoga,46491,41.314,-81.835,Cuyahoga County Ohio,,,,
Attleboro,MA,Massachusetts,City,Bristol,46461,41.945,-71.284,Bristol County Massachusetts,,,,
Little Elm,TX,Texas,City,Denton,46453,33.154,-96.943,Denton County Texas,,,,
Westfield,IN,Indiana,City,Hamilton,46410,40.043,-86.128,Hamilton County Indiana,,,,
Arlington,MA,Massachusetts,Town,Middlesex,46308,42.421,-71.163,Middlesex County Massachusetts,,,,
Altamonte Springs,FL,Florida,City,Seminole,46231,28.664,-81.374,Seminole County Florida,,,,
Haltom City,TX,Texas,City,Tarrant,46073,32.795,-97.273,Tarrant County Texas,,,,
Hackensack,NJ,New Jersey,City,Bergen,46030,40.879,-74.044,Bergen County New Jersey,,,,
Bridgewater,NJ,New Jersey,Township,Somerset,45977,40.611,-74.622,Somerset County New Jersey,,,,
Goose Creek,SC,South Carolina,City,Berkeley,45946,32.996,-80.039,Berkeley County South Carolina,,,,
Huntsville,TX,Texas,City,Walker,45941,30.724,-95.551,Walker County Texas,,,,
Prescott,AZ,Arizona,City,Yavapai,45827,34.542,-112.469,Yavapai County Arizona,,,,
Elmhurst,IL,Illinois,City,Cook,45786,41.9,-87.94,Cook County Illinois,,,,
Keller,TX,Texas,City,Tarrant,45776,32.935,-97.254,Tarrant County Texas,,,,
Bountiful,UT,Utah,City,Davis,45762,40.889,-111.881,Davis County Utah,,,,
Kyle,TX,Texas,City,Hays,45697,29.989,-97.875,Hays County Texas,,,,
Littleton,CO,Colorado,City,Douglas,45652,39.614,-105.016,Douglas County Colorado,,,,
Urbandale,IA,Iowa,City,Polk,45580,41.629,-93.712,Polk County Iowa,,,,
Los Banos,CA,California,City,Merced,45532,37.06,-120.848,Merced County California,,,,
Morgan Hill,CA,California,City,Santa Clara,45483,37.13,-121.654,Santa Clara County California,,,,
Cutler Bay,FL,Florida,Town,Miami-Dade,45425,25.578,-80.338,Miami-Dade County Florida,,,,
Brentwood,TN,Tennessee,City,Williamson,45373,36.033,-86.789,Williamson County Tennessee,,,,
Sayreville,NJ,New Jersey,Borough,Middlesex,45345,40.459,-74.361,Middlesex County New Jersey,,,,
Cleveland Heights,OH,Ohio,City,Cuyahoga,45312,41.52,-81.556,Cuyahoga County Ohio,,,,
Sierra Vista,AZ,Arizona,City,Cochise,45308,31.555,-110.3,Cochise County Arizona,,,,
Pearl City,HI,Hawaii,Census-Designated Place,Honolulu,45295,21.394,-157.97,Honolulu County Hawaii,,,,
Riverton,UT,Utah,City,Salt Lake,45285,40.522,-111.939,Salt Lake County Utah,,,,
Alexandria,LA,Louisiana,City,Rapides,45275,31.311,-92.445,Rapides County Louisiana,,,,
Manchester,NJ,New Jersey,Township,Ocean,45115,39.948,-74.406,Ocean County New Jersey,,,,
Fairfield,OH,Ohio,City,Butler,44907,39.338,-84.56,Butler County Ohio,,,,
Blacksburg,VA,Virginia,Town,Montgomery,44826,37.229,-80.414,Montgomery County Virginia,,,,
York,PA,Pennsylvania,City,York,44800,39.962,-76.728,York County Pennsylvania,,,,
North Lauderdale,FL,Florida,City,Broward,44794,26.217,-80.226,Broward County Florida,,,,
Plainfield,IL,Illinois,Village,Will,44762,41.609,-88.204,Will County Illinois,,,,
Burlington,VT,Vermont,City,Chittenden,44743,44.476,-73.214,Chittenden County Vermont,,,,
Fond du Lac,WI,Wisconsin,City,Fond du Lac,44678,43.779,-88.447,Fond du Lac County Wisconsin,,,,
Mount Laurel,NJ,New Jersey,Township,Burlington,44633,39.948,-74.894,Burlington County New Jersey,,,,
West Lafayette,IN,Indiana,City,Tippecanoe,44595,40.424,-86.908,Tippecanoe County Indiana,,,,
Palm Springs,CA,California,City,Riverside,44575,33.823,-116.546,Riverside County California,,,,
The Colony,TX,Texas,City,Denton,44534,33.088,-96.887,Denton County Texas,,,,
Moorhead,MN,Minnesota,City,Clay,44505,46.874,-96.768,Clay County Minnesota,,,,
Mankato,MN,Minnesota,City,Nicollet,44488,44.166,-94,Nicollet County Minnesota,,,,
Salem,MA,Massachusetts,City,Essex,44480,42.52,-70.896,Essex County Massachusetts,,,,
Lombard,IL,Illinois,Village,DuPage,44476,41.887,-88.018,DuPage County Illinois,,,,
Freeport,NY,New York,Village,Nassau,44472,40.658,-73.584,Nassau County New York,,,,
Lompoc,CA,California,City,Santa Barbara,44444,34.639,-120.458,Santa Barbara County California,,,,
Gallatin,TN,Tennessee,City,Sumner,44431,36.388,-86.446,Sumner County Tennessee,,,,
Wallingford,CT,Connecticut,Town,New Haven,44396,41.459,-72.8,New Haven County Connecticut,,,,
Rohnert Park,CA,California,City,Sonoma,44390,38.339,-122.701,Sonoma County California,,,,
Wentzville,MO,Missouri,City,St. Charles,44372,38.811,-90.853,St. Charles County Missouri,,,,
Wilkes Barre,PA,Pennsylvania,City,Luzerne,44328,41.246,-75.882,Luzerne County Pennsylvania,,,,
El Centro,CA,California,City,Imperial,44322,32.793,-115.563,Imperial County California,,,,
Bloomfield,MI,Michigan,Charter Township,Oakland,44253,42.57,-83.294,Oakland County Michigan,,,,
Oakland Park,FL,Florida,City,Broward,44229,26.174,-80.139,Broward County Florida,,,,
Saginaw,MI,Michigan,Charter Township,Saginaw,44202,43.445,-84.022,Saginaw County Michigan,,,,
Hilo,HI,Hawaii,Census-Designated Place,Hawaii,44186,19.724,-155.087,Hawaii County Hawaii,,,,
Greenacres,FL,Florida,City,Palm Beach,43990,26.626,-80.134,Palm Beach County Florida,,,,
Concord,NH,New Hampshire,City,Merrimack,43976,43.204,-71.536,Merrimack County New Hampshire,,,,
Altoona,PA,Pennsylvania,City,Blair,43963,40.515,-78.402,Blair County Pennsylvania,,,,
Campbell,CA,California,City,Santa Clara,43959,37.287,-121.95,Santa Clara County California,,,,
Pittsfield,MA,Massachusetts,City,Berkshire,43927,42.448,-73.253,Berkshire County Massachusetts,,,,
Meridian,MI,Michigan,Charter Township,Ingham,43916,42.726,-84.406,Ingham County Michigan,,,,
San Bruno,CA,California,City,San Mateo,43908,37.631,-122.411,San Mateo County California,,,,
North Brunswick,NJ,New Jersey,Township,Middlesex,43905,40.446,-74.491,Middlesex County New Jersey,,,,
Leominster,MA,Massachusetts,City,Worcester,43782,42.526,-71.76,Worcester County Massachusetts,,,,
Berkeley,NJ,New Jersey,Township,Ocean,43754,39.943,-74.266,Ocean County New Jersey,,,,
Linden,NJ,New Jersey,City,Union,43738,40.631,-74.252,Union County New Jersey,,,,
Shakopee,MN,Minnesota,City,Scott,43698,44.798,-93.525,Scott County Minnesota,,,,
North Miami Beach,FL,Florida,City,Miami-Dade,43676,25.933,-80.162,Miami-Dade County Florida,,,,
Sherman,TX,Texas,City,Grayson,43645,33.637,-96.609,Grayson County Texas,,,,
Eagle Mountain,UT,Utah,City,Utah,43623,40.305,-112.004,Utah County Utah,,,,
Danville,CA,California,Town,Contra Costa,43582,37.822,-122,Contra Costa County California,,,,
Hagerstown,MD,Maryland,City,Washington,43527,39.642,-77.72,Washington County Maryland,,,,
Bremerton,WA,Washington,City,Kitsap,43505,47.565,-122.627,Kitsap County Washington,,,,
Southington,CT,Connecticut,Town,Hartford,43501,41.607,-72.876,Hartford County Connecticut,,,,
Hickory,NC,North Carolina,City,Burke,43490,35.732,-81.338,Burke County North Carolina,,,,
Waipahu,HI,Hawaii,Census-Designated Place,Honolulu,43485,21.383,-158.022,Honolulu County Hawaii,,,,
Sumter,SC,South Carolina,City,Sumter,43463,33.92,-80.342,Sumter County South Carolina,,,,
Huber Heights,OH,Ohio,City,Miami,43439,39.847,-84.114,Miami County Ohio,,,,
Oakley,CA,California,City,Contra Costa,43357,37.998,-121.714,Contra Costa County California,,,,
Hillsborough,NJ,New Jersey,Township,Somerset,43276,40.51,-74.652,Somerset County New Jersey,,,,
Woonsocket,RI,Rhode Island,City,Providence,43240,42,-71.516,Providence County Rhode Island,,,,
Jefferson City,MO,Missouri,City,Callaway,43228,38.578,-92.171,Callaway County Missouri,,,,
Buffalo Grove,IL,Illinois,Village,Lake,43212,42.157,-87.964,Lake County Illinois,,,,
Ormond Beach,FL,Florida,City,Volusia,43080,29.284,-81.059,Volusia County Florida,,,,
Commerce,MI,Michigan,Charter Township,Oakland,43058,42.583,-83.497,Oakland County Michigan,,,,
Clermont,FL,Florida,City,Lake,43021,28.558,-81.765,Lake County Florida,,,,
Moline,IL,Illinois,City,Rock Island,42985,41.507,-90.515,Rock Island County Illinois,,,,
Coppell,TX,Texas,City,Denton,42983,32.969,-96.994,Denton County Texas,,,,
Puyallup,WA,Washington,City,Pierce,42973,47.192,-122.294,Pierce County Washington,,,,
Edmonds,WA,Washington,City,Snohomish,42853,47.811,-122.377,Snohomish County Washington,,,,
Manassas,VA,Virginia,City,Manassas,42772,38.751,-77.472,Manassas County Virginia,,,,
Beverly,MA,Massachusetts,City,Essex,42670,42.55,-70.883,Essex County Massachusetts,,,,
Spanish Fork,UT,Utah,City,Utah,42602,40.11,-111.655,Utah County Utah,,,,
Danville,VA,Virginia,City,Danville,42590,36.588,-79.392,Danville County Virginia,,,,
Newnan,GA,Georgia,City,Coweta,42549,33.374,-84.799,Coweta County Georgia,,,,
Midland,MI,Michigan,City,Bay,42547,43.613,-84.246,Bay County Michigan,,,,
Belleville,IL,Illinois,City,St. Clair,42404,38.514,-89.984,St. Clair County Illinois,,,,
Gainesville,GA,Georgia,City,Hall,42296,34.299,-83.827,Hall County Georgia,,,,
Rancho Palos Verdes,CA,California,City,Los Angeles,42287,33.745,-118.389,Los Angeles County California,,,,
Peachtree Corners,GA,Georgia,City,Gwinnett,42243,33.971,-84.221,Gwinnett County Georgia,,,,
Lake Worth Beach,FL,Florida,City,Palm Beach,42219,26.616,-80.057,Palm Beach County Florida,,,,
Enfield,CT,Connecticut,Town,Hartford,42141,41.987,-72.553,Hartford County Connecticut,,,,
Billerica,MA,Massachusetts,Town,Middlesex,42119,42.563,-71.277,Middlesex County Massachusetts,,,,
Maplewood,MN,Minnesota,City,Ramsey,42088,44.956,-93.005,Ramsey County Minnesota,,,,
Schertz,TX,Texas,City,Comal,42002,29.552,-98.27,Comal County Texas,,,,
Kearny,NJ,New Jersey,Town,Hudson,41999,40.77,-74.146,Hudson County New Jersey,,,,
Fitchburg,MA,Massachusetts,City,Worcester,41946,42.585,-71.804,Worcester County Massachusetts,,,,
Coachella,CA,California,City,Riverside,41941,33.681,-116.177,Riverside County California,,,,
Marlborough,MA,Massachusetts,City,Middlesex,41793,42.347,-71.549,Middlesex County Massachusetts,,,,
Columbia,TN,Tennessee,City,Maury,41690,35.615,-87.034,Maury County Tennessee,,,,
Saginaw,MI,Michigan,City,Saginaw,41679,43.433,-83.939,Saginaw County Michigan,,,,
Hollister,CA,California,City,San Benito,41678,36.852,-121.402,San Benito County California,,,,
Marion,IA,Iowa,City,Linn,41535,42.033,-91.599,Linn County Iowa,,,,
Marlboro,NJ,New Jersey,Township,Monmouth,41502,40.346,-74.263,Monmouth County New Jersey,,,,
Brookfield,WI,Wisconsin,City,Waukesha,41464,43.036,-88.115,Waukesha County Wisconsin,,,,
Bullhead City,AZ,Arizona,City,Mohave,41348,35.148,-114.568,Mohave County Arizona,,,,
Germantown,TN,Tennessee,City,Shelby,41333,35.093,-89.809,Shelby County Tennessee,,,,
Delaware,OH,Ohio,City,Delaware,41302,40.299,-83.068,Delaware County Ohio,,,,
Milton,GA,Georgia,City,Fulton,41296,34.118,-84.27,Fulton County Georgia,,,,
Lancaster,TX,Texas,City,Dallas,41275,32.592,-96.756,Dallas County Texas,,,,
Pine Bluff,AR,Arkansas,City,Jefferson,41253,34.229,-92.003,Jefferson County Arkansas,,,,
Grove City,OH,Ohio,City,Franklin,41252,39.882,-83.094,Franklin County Ohio,,,,
Teaneck,NJ,New Jersey,Township,Bergen,41246,40.893,-74.011,Bergen County New Jersey,,,,
Holly Springs,NC,North Carolina,Town,Wake,41239,35.651,-78.834,Wake County North Carolina,,,,
Hallandale Beach,FL,Florida,City,Broward,41217,25.985,-80.148,Broward County Florida,,,,
Friendswood,TX,Texas,City,Harris,41213,29.529,-95.201,Harris County Texas,,,,
Waxahachie,TX,Texas,City,Ellis,41140,32.386,-96.847,Ellis County Texas,,,,
Bartlett,IL,Illinois,Village,Cook,41105,41.992,-88.185,Cook County Illinois,,,,
Reynoldsburg,OH,Ohio,City,Licking,41076,39.955,-82.812,Licking County Ohio,,,,
Covington,KY,Kentucky,City,Kenton,40961,39.084,-84.508,Kenton County Kentucky,,,,
Montclair,NJ,New Jersey,Township,Essex,40921,40.819,-74.216,Essex County New Jersey,,,,
Manalapan,NJ,New Jersey,Township,Monmouth,40905,40.259,-74.353,Monmouth County New Jersey,,,,
Woburn,MA,Massachusetts,City,Middlesex,40876,42.48,-71.152,Middlesex County Massachusetts,,,,
Shelton,CT,Connecticut,Town,Fairfield,40869,41.308,-73.148,Fairfield County Connecticut,,,,
Westfield,MA,Massachusetts,City,Hampden,40834,42.121,-72.749,Hampden County Massachusetts,,,,
Annapolis,MD,Maryland,City,Anne Arundel,40812,38.978,-76.489,Anne Arundel County Maryland,,,,
Chelsea,MA,Massachusetts,City,Suffolk,40787,42.393,-71.034,Suffolk County Massachusetts,,,,
Culver City,CA,California,City,Los Angeles,40779,34.021,-118.397,Los Angeles County California,,,,
Lake Oswego,OR,Oregon,City,Multnomah,40731,45.419,-122.664,Multnomah County Oregon,,,,
Cedar Falls,IA,Iowa,City,Black Hawk,40713,42.536,-92.445,Black Hawk County Iowa,,,,
Duncanville,TX,Texas,City,Dallas,40706,32.652,-96.908,Dallas County Texas,,,,
Valley Stream,NY,New York,Village,Nassau,40634,40.661,-73.704,Nassau County New York,,,,
Lancaster,OH,Ohio,City,Fairfield,40552,39.714,-82.602,Fairfield County Ohio,,,,
Kailua,HI,Hawaii,Census-Designated Place,Honolulu,40514,21.393,-157.74,Honolulu County Hawaii,,,,
Hobbs,NM,New Mexico,City,Lea,40508,32.701,-103.136,Lea County New Mexico,,,,
State College,PA,Pennsylvania,Borough,Centre,40501,40.794,-77.862,Centre County Pennsylvania,,,,
New Berlin,WI,Wisconsin,City,Waukesha,40451,42.976,-88.108,Waukesha County Wisconsin,,,,
Hurst,TX,Texas,City,Tarrant,40413,32.824,-97.179,Tarrant County Texas,,,,
Findlay,OH,Ohio,City,Hancock,40313,41.043,-83.65,Hancock County Ohio,,,,
DeKalb,IL,Illinois,City,DeKalb,40290,41.93,-88.75,DeKalb County Illinois,,,,
Crystal Lake,IL,Illinois,City,McHenry,40269,42.241,-88.316,McHenry County Illinois,,,,
Lincoln Park,MI,Michigan,City,Wayne,40245,42.25,-83.177,Wayne County Michigan,,,,
Aventura,FL,Florida,City,Miami-Dade,40242,25.955,-80.147,Miami-Dade County Florida,,,,
Fort Lee,NJ,New Jersey,Borough,Bergen,40191,40.851,-73.97,Bergen County New Jersey,,,,
Florence,AL,Alabama,City,Lauderdale,40184,34.8,-87.677,Lauderdale County Alabama,,,,
Weslaco,TX,Texas,City,Hidalgo,40160,26.163,-97.991,Hidalgo County Texas,,,,
Norwich,CT,Connecticut,Town,New London,40125,41.551,-72.088,New London County Connecticut,,,,
Brighton,CO,Colorado,City,Weld,40083,39.985,-104.818,Weld County Colorado,,,,
Oviedo,FL,Florida,City,Seminole,40059,28.67,-81.208,Seminole County Florida,,,,
Issaquah,WA,Washington,City,King,40051,47.53,-122.037,King County Washington,,,,
Hutchinson,KS,Kansas,City,Reno,40006,38.053,-97.932,Reno County Kansas,,,,
Indian Trail,NC,North Carolina,Town,Union,39997,35.084,-80.661,Union County North Carolina,,,,
Wausau,WI,Wisconsin,City,Marathon,39994,44.96,-89.627,Marathon County Wisconsin,,,,
Winslow,NJ,New Jersey,Township,Camden,39907,39.676,-74.867,Camden County New Jersey,,,,
Florence,SC,South Carolina,City,Florence,39899,34.197,-79.766,Florence County South Carolina,,,,
Romeoville,IL,Illinois,Village,Will,39863,41.64,-88.081,Will County Illinois,,,,
Carol Stream,IL,Illinois,Village,DuPage,39854,41.916,-88.13,DuPage County Illinois,,,,
Grand Blanc,MI,Michigan,Charter Township,Genesee,39846,42.899,-83.663,Genesee County Michigan,,,,
Plant City,FL,Florida,City,Hillsborough,39764,28.016,-82.123,Hillsborough County Florida,,,,
Olive Branch,MS,Mississippi,City,DeSoto,39711,34.963,-89.829,DeSoto County Mississippi,,,,
Park Ridge,IL,Illinois,City,Cook,39656,42.009,-87.831,Cook County Illinois,,,,
Streamwood,IL,Illinois,Village,Cook,39577,42.022,-88.182,Cook County Illinois,,,,
San Gabriel,CA,California,City,Los Angeles,39568,34.096,-118.105,Los Angeles County California,,,,
Cape Girardeau,MO,Missouri,City,Cape Girardeau,39540,37.303,-89.519,Cape Girardeau County Missouri,,,,
Bell Gardens,CA,California,City,Los Angeles,39501,33.965,-118.152,Los Angeles County California,,,,
Quincy,IL,Illinois,City,Adams,39463,39.933,-91.409,Adams County Illinois,,,,
Rexburg,ID,Idaho,City,Madison,39409,43.826,-111.784,Madison County Idaho,,,,
Dover,DE,Delaware,City,Kent,39403,39.156,-75.524,Kent County Delaware,,,,
Keizer,OR,Oregon,City,Marion,39376,44.989,-123.027,Marion County Oregon,,,,
Roy,UT,Utah,City,Weber,39306,41.162,-112.026,Weber County Utah,,,,
Mount Juliet,TN,Tennessee,City,Wilson,39289,36.2,-86.519,Wilson County Tennessee,,,,
Amherst,MA,Massachusetts,Town,Hampshire,39263,42.342,-72.504,Hampshire County Massachusetts,,,,
Warren,OH,Ohio,City,Trumbull,39201,41.237,-80.819,Trumbull County Ohio,,,,
Westerville,OH,Ohio,City,Delaware,39190,40.127,-82.932,Delaware County Ohio,,,,
Grants Pass,OR,Oregon,City,Josephine,39189,42.44,-123.327,Josephine County Oregon,,,,
Pittsfield,MI,Michigan,Charter Township,Washtenaw,39147,42.2,-83.727,Washtenaw County Michigan,,,,
Braintree,MA,Massachusetts,City,Norfolk,39143,42.208,-71.004,Norfolk County Massachusetts,,,,
Wheeling,IL,Illinois,Village,Lake,39137,42.137,-87.928,Lake County Illinois,,,,
Bettendorf,IA,Iowa,City,Scott,39102,41.527,-90.5,Scott County Iowa,,,,
Vestavia Hills,AL,Alabama,City,Jefferson,39102,33.447,-86.791,Jefferson County Alabama,,,,
Royal Palm Beach,FL,Florida,Village,Palm Beach,38932,26.706,-80.229,Palm Beach County Florida,,,,
Cottage Grove,MN,Minnesota,City,Washington,38839,44.827,-92.94,Washington County Minnesota,,,,
Phenix City,AL,Alabama,City,Lee,38816,32.471,-85.002,Lee County Alabama,,,,
Spartanburg,SC,South Carolina,City,Spartanburg,38732,34.95,-81.932,Spartanburg County South Carolina,,,,
La Vergne,TN,Tennessee,City,Rutherford,38719,36.019,-86.573,Rutherford County Tennessee,,,,
Pacifica,CA,California,City,San Mateo,38640,37.609,-122.496,San Mateo County California,,,,
Calexico,CA,California,City,Imperial,38633,32.679,-115.499,Imperial County California,,,,
West Fargo,ND,North Dakota,City,Cass,38626,46.87,-96.9,Cass County North Dakota,,,,
Lynnwood,WA,Washington,City,Snohomish,38568,47.821,-122.315,Snohomish County Washington,,,,
Clovis,NM,New Mexico,City,Curry,38567,34.401,-103.205,Curry County New Mexico,,,,
Menomonee Falls,WI,Wisconsin,Village,Waukesha,38527,43.179,-88.116,Waukesha County Wisconsin,,,,
Apache Junction,AZ,Arizona,City,Maricopa,38499,33.413,-111.546,Maricopa County Arizona,,,,
Atlantic City,NJ,New Jersey,City,Atlantic,38497,39.364,-74.423,Atlantic County New Jersey,,,,
Post Falls,ID,Idaho,City,Kootenai,38485,47.715,-116.948,Kootenai County Idaho,,,,
Lebanon,TN,Tennessee,City,Wilson,38431,36.208,-86.291,Wilson County Tennessee,,,,
Groton,CT,Connecticut,Town,New London,38411,41.362,-72.049,New London County Connecticut,,,,
East Point,GA,Georgia,City,Fulton,38358,33.677,-84.441,Fulton County Georgia,,,,
Winter Springs,FL,Florida,City,Seminole,38342,28.676,-81.27,Seminole County Florida,,,,
Urbana,IL,Illinois,City,Champaign,38336,40.112,-88.207,Champaign County Illinois,,,,
Shrewsbury,MA,Massachusetts,Town,Worcester,38325,42.284,-71.716,Worcester County Massachusetts,,,,
Muskegon,MI,Michigan,City,Muskegon,38318,43.234,-86.248,Muskegon County Michigan,,,,
Rosenberg,TX,Texas,City,Fort Bend,38282,29.557,-95.809,Fort Bend County Texas,,,,
Holland,MI,Michigan,Charter Township,Ottawa,38276,42.829,-86.085,Ottawa County Michigan,,,,
Peachtree City,GA,Georgia,City,Fayette,38244,33.396,-84.591,Fayette County Georgia,,,,
Owasso,OK,Oklahoma,City,Rogers,38240,36.266,-95.855,Rogers County Oklahoma,,,,
Holyoke,MA,Massachusetts,City,Hampden,38238,42.206,-72.609,Hampden County Massachusetts,,,,
Belleville,NJ,New Jersey,Township,Essex,38222,40.796,-74.159,Essex County New Jersey,,,,
Orion,MI,Michigan,Charter Township,Oakland,38206,42.752,-83.274,Oakland County Michigan,,,,
Northglenn,CO,Colorado,City,Weld,38131,39.903,-104.978,Weld County Colorado,,,,
La Puente,CA,California,City,Los Angeles,38062,34.02,-117.951,Los Angeles County California,,,,
Adelanto,CA,California,City,San Bernardino,38046,34.579,-117.41,San Bernardino County California,,,,
Carpentersville,IL,Illinois,Village,Kane,37983,42.121,-88.258,Kane County Illinois,,,,
Stanton,CA,California,City,Orange,37962,33.803,-117.993,Orange County California,,,,
Monrovia,CA,California,City,Los Angeles,37931,34.145,-118.001,Los Angeles County California,,,,
Hot Springs,AR,Arkansas,City,Garland,37930,34.504,-93.055,Garland County Arkansas,,,,
Portage,IN,Indiana,City,Porter,37926,41.576,-87.181,Porter County Indiana,,,,
Tupelo,MS,Mississippi,City,Lee,37923,34.257,-88.705,Lee County Mississippi,,,,
Montclair,CA,California,City,San Bernardino,37865,34.078,-117.69,San Bernardino County California,,,,
New Albany,IN,Indiana,City,Floyd,37841,38.284,-85.823,Floyd County Indiana,,,,
Longview,WA,Washington,City,Cowlitz,37818,46.138,-122.934,Cowlitz County Washington,,,,
Galloway,NJ,New Jersey,Township,Atlantic,37813,39.468,-74.442,Atlantic County New Jersey,,,,
Greenfield,WI,Wisconsin,City,Milwaukee,37803,42.966,-88.008,Milwaukee County Wisconsin,,,,
Prattville,AL,Alabama,City,Elmore,37781,32.462,-86.451,Elmore County Alabama,,,,
Pleasant Grove,UT,Utah,City,Utah,37726,40.364,-111.739,Utah County Utah,,,,
Rome,GA,Georgia,City,Floyd,37713,34.255,-85.172,Floyd County Georgia,,,,
Saratoga Springs,UT,Utah,City,Utah,37696,40.333,-111.909,Utah County Utah,,,,
Hilton Head Island,SC,South Carolina,Town,Beaufort,37661,32.178,-80.728,Beaufort County South Carolina,,,,
Riviera Beach,FL,Florida,City,Palm Beach,37604,26.774,-80.055,Palm Beach County Florida,,,,
Oregon City,OR,Oregon,City,Clackamas,37572,45.357,-122.607,Clackamas County Oregon,,,,
La Quinta,CA,California,City,Riverside,37558,33.663,-116.308,Riverside County California,,,,
Hanover Park,IL,Illinois,Village,Cook,37470,41.999,-88.145,Cook County Illinois,,,,
Kaneohe,HI,Hawaii,Census-Designated Place,Honolulu,37430,21.418,-157.802,Honolulu County Hawaii,,,,
DeLand,FL,Florida,City,Volusia,37351,29.028,-81.303,Volusia County Florida,,,,
Leavenworth,KS,Kansas,City,Leavenworth,37351,39.319,-94.914,Leavenworth County Kansas,,,,
Bartlesville,OK,Oklahoma,City,Osage,37290,36.751,-95.978,Osage County Oklahoma,,,,
Martinez,CA,California,City,Contra Costa,37287,38.018,-122.134,Contra Costa County California,,,,
Claremont,CA,California,City,Los Angeles,37266,34.095,-117.719,Los Angeles County California,,,,
Ewing,NJ,New Jersey,Township,Mercer,37264,40.267,-74.788,Mercer County New Jersey,,,,
Lewiston,ME,Maine,City,Androscoggin,37121,44.101,-70.215,Androscoggin County Maine,,,,
Monroe,NJ,New Jersey,Township,Gloucester,37117,39.658,-74.957,Gloucester County New Jersey,,,,
Hilliard,OH,Ohio,City,Franklin,37114,40.034,-83.16,Franklin County Ohio,,,,
Rock Island,IL,Illinois,City,Rock Island,37108,41.509,-90.576,Rock Island County Illinois,,,,
Georgetown,KY,Kentucky,City,Scott,37086,38.21,-84.56,Scott County Kentucky,,,,
Pennsauken,NJ,New Jersey,Township,Camden,37074,39.974,-75.039,Camden County New Jersey,,,,
Natick,MA,Massachusetts,Town,Middlesex,37006,42.288,-71.35,Middlesex County Massachusetts,,,,
Tucker,GA,Georgia,City,DeKalb,37005,33.853,-84.214,DeKalb County Georgia,,,,
Richfield,MN,Minnesota,City,Hennepin,36994,44.883,-93.283,Hennepin County Minnesota,,,,
Estero,FL,Florida,Village,Lee,36939,26.431,-81.811,Lee County Florida,,,,
Muskogee,OK,Oklahoma,City,Muskogee,36878,35.748,-95.369,Muskogee County Oklahoma,,,,
Wildomar,CA,California,City,Riverside,36875,33.604,-117.273,Riverside County California,,,,
Trumbull,CT,Connecticut,Town,Fairfield,36827,41.263,-73.214,Fairfield County Connecticut,,,,
Franklin,WI,Wisconsin,City,Milwaukee,36816,42.889,-88.038,Milwaukee County Wisconsin,,,,
